,MedianIncome,ZipCode
776,66261.0,12561
777,92950.0,12563
778,76825.0,12564
779,43750.0,12565
780,80548.0,12566
781,63244.0,12567
782,76517.0,12569
783,93875.0,12570
784,69091.0,12571
785,72551.0,12572
786,94958.0,12575
787,92167.0,12577
788,92375.0,12578
789,77394.0,12580
790,67992.0,12581
791,97941.0,12582
792,53036.0,12583
793,96829.0,12585
794,64308.0,12586
795,77500.0,12589
796,78573.0,12590
797,59000.0,12592
798,,12593
799,76190.0,12594
800,42411.0,12601
801,80250.0,12603
802,27702.0,12701
803,59485.0,12719
804,78538.0,12720
805,56964.0,12721
806,58102.0,12723
807,49375.0,12725
808,58208.0,12726
809,55417.0,12729
810,39625.0,12732
811,43523.0,12733
812,29779.0,12734
813,38750.0,12736
814,56154.0,12737
815,74261.0,12738
816,56411.0,12740
817,64688.0,12741
818,59271.0,12742
819,49861.0,12743
820,50500.0,12745
821,59681.0,12746
822,47470.0,12747
823,52375.0,12748
824,37857.0,12750
825,32083.0,12751
826,52292.0,12752
827,36313.0,12754
828,50560.0,12758
829,37902.0,12759
830,42083.0,12760
831,51932.0,12762
832,60368.0,12763
833,52604.0,12764
834,57188.0,12765
835,56818.0,12766
836,32852.0,12768
837,49886.0,12770
838,42797.0,12771
839,81274.0,12775
840,51429.0,12776
841,70156.0,12777
842,41840.0,12779
843,41952.0,12780
844,51121.0,12783
845,49250.0,12786
846,55385.0,12787
847,46111.0,12788
848,51827.0,12789
849,50393.0,12790
850,45815.0,12791
851,40739.0,12792
852,45538.0,12801
853,58083.0,12803
854,60152.0,12804
855,66058.0,12808
856,61168.0,12809
857,58333.0,12810
858,63750.0,12812
859,56375.0,12814
860,52083.0,12815
861,50365.0,12816
862,53690.0,12817
863,45000.0,12819
864,29728.0,12821
865,50617.0,12822
866,21375.0,12823
867,66429.0,12824
868,58893.0,12827
869,54253.0,12828
870,71393.0,12831
871,45162.0,12832
872,62056.0,12833
873,60913.0,12834
874,50662.0,12835
875,54625.0,12836
876,42721.0,12837
877,69167.0,12838
878,44449.0,12839
879,46563.0,12842
880,55395.0,12843
881,75900.0,12844
882,70341.0,12845
883,73125.0,12846
884,58906.0,12847
885,70594.0,12849
886,75337.0,12850
887,39250.0,12851
888,50417.0,12852
889,41563.0,12853
890,,12854
891,51250.0,12855
892,47411.0,12857
893,62500.0,12858
894,59886.0,12859
895,46500.0,12860
896,55288.0,12861
897,63229.0,12863
898,53250.0,12865
899,67979.0,12866
900,53616.0,12870
901,61301.0,12871
902,41786.0,12873
903,95250.0,12874
904,47679.0,12878
905,,12879
906,42083.0,12883
907,49533.0,12885
908,52679.0,12886
909,45098.0,12887
910,43010.0,12901
911,51681.0,12903
912,57159.0,12910
913,,12911
914,50880.0,12912
915,53643.0,12913
916,41250.0,12914
917,44063.0,12916
918,50972.0,12917
919,54078.0,12918
920,50807.0,12919
921,47931.0,12920
922,60833.0,12921
923,54135.0,12922
924,43021.0,12923
925,47656.0,12924
926,46284.0,12926
927,46081.0,12928
928,45903.0,12930
929,45402.0,12932
930,35500.0,12934
931,43843.0,12935
932,57639.0,12936
933,41324.0,12937
934,72361.0,12941
935,42188.0,12942
936,51250.0,12943
937,48869.0,12944
938,65714.0,12945
939,47091.0,12946
940,,12949
941,38977.0,12950
942,40441.0,12952
943,50378.0,12953
944,60078.0,12955
945,50000.0,12956
946,31368.0,12957
947,34405.0,12958
948,51520.0,12959
949,53603.0,12960
950,64000.0,12961
951,68694.0,12962
952,92188.0,12964
953,32500.0,12965
954,47019.0,12966
955,49444.0,12967
956,35000.0,12969
957,53250.0,12970
958,66260.0,12972
959,34492.0,12974
960,73571.0,12978
961,60139.0,12979
962,38629.0,12980
963,55923.0,12981
964,47329.0,12983
965,42917.0,12985
966,55221.0,12986
967,38125.0,12987
968,55417.0,12989
969,52888.0,12992
970,44000.0,12993
971,43198.0,12996
972,53158.0,12997
973,34256.0,12998
974,46296.0,13021
975,71359.0,13026
976,67225.0,13027
977,40592.0,13028
978,68010.0,13029
979,55938.0,13030
980,69877.0,13031
981,53314.0,13032
982,56292.0,13033
983,58466.0,13034
984,65556.0,13035
985,56056.0,13036
986,62214.0,13037
987,74561.0,13039
988,46250.0,13040
989,77708.0,13041
990,52788.0,13042
991,59286.0,13044
992,43985.0,13045
993,52546.0,13052
994,60799.0,13053
995,45833.0,13054
996,55705.0,13057
997,54481.0,13060
998,66250.0,13061
999,76618.0,13063
1000,83295.0,13066
1001,66480.0,13068
1002,43312.0,13069
1003,64191.0,13071
1004,46563.0,13072
1005,50561.0,13073
1006,49198.0,13074
1007,61250.0,13076
1008,55933.0,13077
1009,83355.0,13078
1010,72782.0,13080
1011,52054.0,13081
1012,59460.0,13082
1013,43690.0,13083
1014,65617.0,13084
1015,53395.0,13088
1016,70376.0,13090
1017,66213.0,13092
1018,57279.0,13101
1019,14158.0,13103
1020,92194.0,13104
1021,81149.0,13108
1022,63696.0,13110
1023,45573.0,13111
1024,65313.0,13112
1025,50850.0,13114
1026,62926.0,13116
1027,57450.0,13118
1028,50417.0,13120
1029,47375.0,13122
1030,46875.0,13124
1031,48062.0,13126
1032,50613.0,13131
1033,59577.0,13132
1034,53919.0,13135
1035,36458.0,13136
1036,44646.0,13140
1037,42917.0,13141
1038,47453.0,13142
1039,46034.0,13143
1040,47625.0,13144
1041,42692.0,13145
1042,44286.0,13146
1043,80139.0,13147
1044,45591.0,13148
1045,86378.0,13152
1046,35750.0,13155
1047,44167.0,13156
1048,51188.0,13158
1049,71893.0,13159
1050,63167.0,13160
1051,77039.0,13164
1052,45779.0,13165
1053,55531.0,13166
1054,54788.0,13167
1055,14537.0,13202
1056,26250.0,13203
1057,26841.0,13204
1058,31501.0,13205
1059,40429.0,13206
1060,40808.0,13207
1061,31558.0,13208
1062,50988.0,13209
1063,24591.0,13210
1064,46372.0,13211
1065,51997.0,13212
1066,62386.0,13214
1067,77905.0,13215
1068,59945.0,13219
1069,54196.0,13224
1070,,13290
1071,66944.0,13301
1072,39896.0,13302
1073,60000.0,13303
1074,74408.0,13304
1075,41128.0,13308
1076,52542.0,13309
1077,83625.0,13310
1078,42639.0,13314
1079,58142.0,13315
1080,50027.0,13316
1081,50065.0,13317
1082,48750.0,13318
1083,42344.0,13319
1084,44464.0,13320
1085,48125.0,13322
1086,62681.0,13323
1087,37055.0,13324
1088,51576.0,13325
1089,57375.0,13326
1090,41302.0,13327
1091,59265.0,13328
1092,39444.0,13329
1093,72813.0,13331
1094,41782.0,13332
1095,52083.0,13333
1096,67500.0,13334
1097,52083.0,13335
1098,45403.0,13337
1099,50625.0,13338
1100,40963.0,13339
1101,48671.0,13340
1102,70536.0,13342
1103,45417.0,13343
1104,30733.0,13345
1105,63469.0,13346
1106,51641.0,13348
1107,37665.0,13350
1108,69199.0,13354
1109,36250.0,13355
1110,44500.0,13357
1111,50250.0,13360
1112,53355.0,13361
1113,61574.0,13363
1114,43425.0,13365
1115,47716.0,13367
1116,46827.0,13368
1117,43387.0,13402
1118,64890.0,13403
1119,53203.0,13406
1120,45692.0,13407
1121,41548.0,13408
1122,56008.0,13409
1123,43183.0,13411
1124,64366.0,13413
1125,70625.0,13415
1126,55268.0,13416
1127,34758.0,13417
1128,43750.0,13418
1129,60438.0,13420
1130,47109.0,13421
1131,59965.0,13424
1132,44280.0,13425
1133,46250.0,13428
1134,57279.0,13431
1135,35577.0,13433
1136,61111.0,13436
1137,48839.0,13437
1138,54514.0,13438
1139,43750.0,13439
1140,49755.0,13440
1141,,13441
1142,31845.0,13450
1143,40072.0,13452
1144,38688.0,13454
1145,57292.0,13456
1146,45800.0,13459
1147,44078.0,13460
1148,58500.0,13461
1149,53854.0,13464
1150,,13465
1151,46375.0,13468
1152,64107.0,13469
1153,42847.0,13470
1154,47386.0,13471
1155,48750.0,13473
1156,14821.0,13475
1157,48224.0,13476
1158,50875.0,13477
1159,68690.0,13478
1160,48512.0,13480
1161,,13482
1162,40147.0,13483
1163,42313.0,13485
1164,47000.0,13486
1165,65625.0,13488
1166,43929.0,13489
1167,80841.0,13490
1168,52888.0,13491
1169,62543.0,13492
1170,46023.0,13493
1171,41250.0,13494
1172,48576.0,13495
1173,31519.0,13501
1174,38290.0,13502
1175,42296.0,13601
1176,50667.0,13602
1177,41430.0,13603
1178,48068.0,13605
1179,63071.0,13606
1180,36554.0,13607
1181,51615.0,13608
1182,52841.0,13612
1183,31645.0,13613
1184,36250.0,13614
1185,42500.0,13616
1186,50785.0,13617
1187,57625.0,13618
1188,45888.0,13619
1189,50909.0,13620
1190,42000.0,13621
1191,57041.0,13622
1192,53077.0,13624
1193,45508.0,13625
1194,59708.0,13626
1195,51563.0,13630
1196,66250.0,13633
1197,54456.0,13634
1198,33194.0,13635
1199,64643.0,13636
1200,55104.0,13637
1201,24600.0,13638
1202,32708.0,13639
1203,88125.0,13640
1204,40218.0,13642
1205,43304.0,13646
1206,45000.0,13648
1207,45548.0,13650
1208,45500.0,13652
1209,46833.0,13654
1210,28889.0,13655
1211,53668.0,13656
1212,53850.0,13658
1213,46250.0,13659
1214,43832.0,13660
1215,49948.0,13661
1216,41668.0,13662
1217,60139.0,13664
1218,33750.0,13665
1219,39744.0,13667
1220,43500.0,13668
1221,41835.0,13669
1222,38438.0,13670
1223,35368.0,13672
1224,48984.0,13673
1225,,13675
1226,43415.0,13676
1227,49861.0,13679
1228,48611.0,13680
1229,41000.0,13681
1230,71250.0,13682
1231,45500.0,13684
1232,62586.0,13685
1233,43287.0,13687
1234,43167.0,13690
1235,51851.0,13691
1236,50250.0,13693
1237,59926.0,13694
1238,,13696
1239,42143.0,13697
1240,40102.0,13730
